	publish	quality				
81			0:06:47	CoalCountryCloggers_George English FIles-1991-00.00.08.467-00.57.18.867-seg02__07___	_00.14.40.433-00.21.28.133-seg07.mp4	
82			0:04:08	CoalCountryCloggers_George English FIles-1991-00.00.08.467-00.57.18.867-seg02__08___	_00.21.28.133-00.25.36.500-seg08.mp4	
83			0:05:27	CoalCountryCloggers_George English FIles-1991-00.00.08.467-00.57.18.867-seg02__09___	_00.25.36.500-00.31.03.409-seg09.mp4	
84			0:02:51	CoalCountryCloggers_George English FIles-1991-00.00.08.467-00.57.18.867-seg02__10___	_00.31.03.409-00.33.54.667-seg10.mp4	
85			0:04:34	CoalCountryCloggers_George English FIles-1991-00.00.08.467-00.57.18.867-seg02__11___	_00.33.54.667-00.38.29.035-seg11.mp4	
86			0:02:40	CoalCountryCloggers_George English FIles-1991-00.00.08.467-00.57.18.867-seg02__12___	_00.38.29.035-00.41.09.900-seg12.mp4	
87			0:04:00	CoalCountryCloggers_George English FIles-1991-00.00.08.467-00.57.18.867-seg02__13___	_00.41.09.900-00.45.09.933-seg13.mp4	
88			0:06:21	CoalCountryCloggers_George English FIles-1991-00.00.08.467-00.57.18.867-seg02__14___	_00.45.09.933-00.51.31.633-seg14.mp4	
89			0:05:38	CoalCountryCloggers_George English FIles-1991-00.00.08.467-00.57.18.867-seg02__15___	_00.51.31.633-00.57.10.467-seg15.mp4	
90			0:00:46	CoalCountryCloggers_George English FIles-1991-01.12.18.367-01.25.40.467-seg04__01___	_00.00.00.000-00.00.46.704-seg01.mp4	
91			0:03:23	CoalCountryCloggers_George English FIles-1991-01.12.18.367-01.25.40.467-seg04__02___	_00.00.46.704-00.04.09.948-seg02.mp4	
92			0:01:18	CoalCountryCloggers_George English FIles-1991-01.12.18.367-01.25.40.467-seg04__04___	_00.04.22.065-00.05.40.783-seg04.mp4	
93			0:07:03	CoalCountryCloggers_George English FIles-1991-01.12.18.367-01.25.40.467-seg04__05___	_00.05.40.783-00.12.44.142-seg05.mp4	
94			0:00:17	CoalCountryCloggers_George English FIles-1991-01.12.18.367-01.25.40.467-seg04__07___	_00.12.48.289-00.13.06.047-seg07.mp4	
95			0:05:31	CoalCountryCloggers_George English FIles-1991-01.25.40.467-01.47.02.967-seg05__02___	_00.00.09.833-00.05.40.900-seg02.mp4	
96			0:01:06	CoalCountryCloggers_George English FIles-1991-01.25.40.467-01.47.02.967-seg05__03___	_00.05.40.900-00.06.47.020-seg03.mp4	
97			0:05:20	CoalCountryCloggers_George English FIles-1991-01.25.40.467-01.47.02.967-seg05__04___	_00.06.47.020-00.12.07.056-seg04.mp4	
98			0:00:43	CoalCountryCloggers_George English FIles-1991-01.25.40.467-01.47.02.967-seg05__05___	_00.12.07.056-00.12.50.595-seg05.mp4	
99			0:02:14	CoalCountryCloggers_George English FIles-1991-01.25.40.467-01.47.02.967-seg05__06___	_00.12.50.595-00.15.05.019-seg06.mp4	
100			0:06:17	CoalCountryCloggers_George English FIles-1991-01.25.40.467-01.47.02.967-seg05__07___	_00.15.05.019-00.21.22.605-seg07.mp4	
101			0:14:31	CoalCountryCloggers_George English FIles-1991-01.47.02.967-02.34.50.036-seg06__02___	_00.00.01.000-00.14.32.267-seg02.mp4	
102			0:03:24	CoalCountryCloggers_George English FIles-1991-01.47.02.967-02.34.50.036-seg06__04___	_00.15.13.200-00.18.37.833-seg04.mp4	
103			0:03:26	CoalCountryCloggers_George English FIles-1991-01.47.02.967-02.34.50.036-seg06__06___	_00.31.40.800-00.35.07.640-seg06.mp4	
104			0:02:39	CoalCountryCloggers_George English FIles-1991-01.47.02.967-02.34.50.036-seg06__07___	_00.35.07.640-00.37.47.377-seg07.mp4	
105			0:01:29	CoalCountryCloggers_George English FIles-1991-01.47.02.967-02.34.50.036-seg06__08___	_00.37.47.377-00.39.16.267-seg08.mp4	
106			0:02:53	CoalCountryCloggers_George English FIles-1991-01.47.02.967-02.34.50.036-seg06__09___	_00.39.16.267-00.42.10.033-seg09.mp4	
107			0:03:25	CoalCountryCloggers_George English FIles-1991-01.47.02.967-02.34.50.036-seg06__10___	_00.42.10.033-00.45.35.067-seg10.mp4	
108			0:16:01	CoalCountryCloggers_George English FIles-1991-02.34.50.036-02.50.51.446-seg07.mp4		
109			0:22:41	CoalCountryCloggers_George English FIles-1991-02.50.51.446-03.13.32.545-seg08.mp4		
110			0:10:05	CoalCountryCloggers_George English FIles-1991-03.13.32.545-03.23.38.017-seg09.mp4		
111			0:17:18	CoalCountryCloggers_George English FIles-1991-03.23.38.017-03.40.56.700-seg10.mp4		
112			0:08:50	CoalCountryConvention1989-00.00.00.000-00.55.31.807__01___	_00.00.00.000-00.08.50.796-seg01.mp4	
113			0:14:01	CoalCountryConvention1989-00.00.00.000-00.55.31.807__02___	_00.08.50.796-00.22.51.800-seg02.mp4	
114			0:01:21	CoalCountryConvention1989-00.00.00.000-00.55.31.807__04___	_00.24.22.858-00.25.44.400-seg04.mp4	
115			0:00:57	CoalCountryConvention1989-00.00.00.000-00.55.31.807__05___	_00.25.44.400-00.26.41.832-seg05.mp4	
116			0:14:51	CoalCountryConvention1989-00.00.00.000-00.55.31.807__06___	_00.26.41.832-00.41.33.314-seg06.mp4	
117			0:01:16	CoalCountryConvention1989-00.00.00.000-00.55.31.807__07___	_00.41.33.314-00.42.50.135-seg07.mp4	
118			0:03:53	CoalCountryConvention1989-00.00.00.000-00.55.31.807__08___	_00.42.50.135-00.46.43.633-seg08.mp4	
119			0:10:01	SquareDanceEddyTheatre-02-1989-00.00.06.232-00.10.08.067.mp4		
120			0:45:25	X_201_FranklinPA-19920704_2025-08-08_15-56-47.mp4		
121			0:30:03	X_CoalCountryCloggersAtMtAloysiusCollegePARTIAL03-14-1997-00.00.00.000-00.30.03.498.mp4		
122			0:14:59	X_CoalCountryCloggers_George English FIles-1991-00.57.18.867-01.12.18.367-seg03.mp4		
123			0:13:22	X_CoalCountryCloggers_George English FIles-1991-01.12.18.367-01.25.40.467-seg04.mp4		
124			0:21:22	X_CoalCountryCloggers_George English FIles-1991-01.25.40.467-01.47.02.967-seg05.mp4		
125			0:47:47	X_CoalCountryCloggers_George English FIles-1991-01.47.02.967-02.34.50.036-seg06.mp4		
126			0:42:15	X_CoalCountryCloggers_KeyserWV_04-1995-00.00.00.000-00.42.15.100.mp4		
127			0:55:31	X_CoalCountryConvention1989-00.00.00.000-00.55.31.807.mp4		
